ANP,Location,Site code,Sensor,Manufacturer,Model,Installation date,Installation status,Latitude,Longitude,,,,
RBRL,El Cuyo,RBRL-EC-03,Forest survey,,,,Upcoming,21.4863119,-87.53794379,,,,
RBRL,El Cuyo,RBRL-EC-03,Dron Lidar,,,05/29/2025,Executed,21.4863119,-87.53794379,,,,
RBRL,El Cuyo,RBRL-EC-03S,Current profiler,Nortek,Eco,05/29/2025,Installed,21.487557,-87.536804,,,,
RBRL,El Cuyo,RBRL-EC-03S,Underwater datalogger,Van Essen Instruments,CTD-Diver,05/29/2025,Installed,21.487557,-87.536804,,,,
RBRL,El Cuyo,RBRL-EC-04,Underwater datalogger,Davis Instrument,CTD-Diver,05/29/2025,Installed,21.475596,-87.535386,,,,
RBRL,El Cuyo,RBRL-EC-04,Weather station,Davis Instrument,Vantage Pro2,12/18/2024,Installed,21.475396,-87.535135,,,,
RBRL,El Cuyo,RBRL-EC-04,Soil sample,,,,Upcoming,21.47539703,-87.53513829,,,,
RBRL,El Cuyo,RBRL-EC-04,Forest survey,,,,Upcoming,21.47539703,-87.53513829,,,,
RBRL,El Cuyo,RBRL-EC-04,Dron Lidar,,,05/29/2025,Executed,21.47539703,-87.53513829,,,,
RBRL,El Cuyo,RBRL-EC-05,Weather station,Ambient Weather,WS2902,08/14/2024,Installed,21.514722,-87.679861,,,,
RBRL,El Cuyo,RBRL-EC-05,Weather station,Ambient Weather,WS2902,08/14/2024,Installed,21.514806,-87.677472,,,,
RBRL,El Cuyo,RBRL-EC-09,Underwater datalogger,Van Essen Instruments,CTD-Diver,02/20/2025,Installed,21.486589,-87.642447,,,,
RBRL,El Cuyo,RBRL-EC-09,Soil sample,,,,Upcoming,21.48633647,-87.64222518,,,,
RBRL,El Cuyo,RBRL-EC-09,Forest survey,,,,Upcoming,21.48633647,-87.64222518,,,,
RBRL,El Cuyo,RBRL-EC-09,Dron Lidar,,,05/30/2025,Executed,21.48633647,-87.64222518,,,,
RBRL,El Cuyo,RBRL-EC-10,Underwater datalogger,Van Essen Instruments,CTD-Diver,02/20/2025,Installed,21.485197,-87.645694,,,,
RBRL,El Cuyo,RBRL-UMA-01,Underwater datalogger,Van Essen Instruments,Cera,02/22/2025,Installed,21.485982,-87.687657,,,,
RBRL,El Cuyo,RBRL-UMA-01,Weather station,Davis Instrument,Vantage Pro2,12/18/2024,Installed,21.48703385,-87.68702736,,,,
RBRL,El Cuyo,RBRL-UMA-01,Terrestrial camera,Reconyx,Hyperfire 2,12/18/2024,Installed,21.48573503,-87.68696498,,,,
RBRL,Las Coloradas,RBRL-COL-01,Underwater datalogger,Van Essen Instruments,CTD-Diver,02/18/2025,Installed,21.589683,-88.061689,,,,
RBRL,Las Coloradas,RBRL-COL-01,Weather station,Davis Instrument,Vantage Pro2,2/10/2024,Installed,21.589581,-88.061705,,,,
RBRL,Las Coloradas,RBRL-COL-01,Terrestrial camera,Reconyx,Hyperfire 2,05/27/2025,Installed,21.589317,-88.061528,,,,
RBRL,Las Coloradas,RBRL-COL-01,Soil sample,,,,Upcoming,21.58958338,-88.06170189,,,,
RBRL,Las Coloradas,RBRL-COL-01,Forest survey,,,,Upcoming,21.58958338,-88.06170189,,,,
RBRL,Las Coloradas,RBRL-COL-01,Dron Lidar,,,05/27/2025,Executed,21.58958338,-88.06170189,,,,
RBRL,Las Coloradas,RBRL-COL-02,Weather station,Davis Instrument,Vantage Pro2,2/10/2024,Installed,21.585971,-88.063666,,,,
RBRL,Las Coloradas,RBRL-COL-02,Terrestrial camera,Reconyx,Hyperfire 2,12/19/2024,Installed,21.58590367,-88.06354901,,,,
RBRL,Las Coloradas,RBRL-COL-02,Soil sample,,,,Upcoming,21.58597349,-88.06366232,,,,
RBRL,Las Coloradas,RBRL-COL-02,Forest survey,,,,Upcoming,21.58597349,-88.06366232,,,,
RBRL,Las Coloradas,RBRL-COL-02,Dron Lidar,,,05/27/2025,Executed,21.58597349,-88.06366232,,,,
RBRL,Las Coloradas,RBRL-COL-03,Terrestrial camera,Browning,BTC-6PX-1080,02/19/2025,Installed,21.573052,-88.104547,,,,
RBRL,Las Coloradas,RBRL-COL-04,Current profiler,Nortek,Eco,05/31/2025,Installed,21.591972,-88.054223,,,,
RBRL,Las Coloradas,RBRL-COL-04,Underwater datalogger,Van Essen Instruments,CTD-Diver,05/31/2025,Installed,21.591972,-88.054223,,,,
